 Source Name ;Alternate Name(s);Type ;TypeID;Gal_Long;Gal_Lat;RA;Dec;Skymap_x;Skymap_y;Distance(kpc/z);Energy(MeV);General Information 
MRK 421;QSO 1101+386,2EG 1104+3812,1H 1104+382,2E 1101.6+3828;Quasar;7;179.83;65.03;166.11;38.21;75.9141;65.0300;0.031;100500000;"Original high-energy detection (Lin et al. 1993); TeV flare (Kerrick et al. 1995); multiwavelength observations (Macomb et al. 1995)"
MRK 463;IRAS F13536+1836;Seyfert 2;3;5.81;72.74;209.01;18.37;1.7239;72.7400;0.0505;0.05–0.1;Gamma-ray flux (Bassani et al. 1996)
MRK 501;4U 1651+39,H1652+398,QSO 1652+398,RX J16538+3945,2E 1652.1+3950;BL Lac;7;63.6;38.86;253.47;39.76;49.5241;38.8600;0.033;300000;Discovery of TeV emission (Quinn et al. 1996)
MRK 509;1H 2041-108,3A 2041-107;Seyfert 1;3;35.97;-29.86;311.04;-10.72;31.1948;-29.8600;0.034;0.05–0.15;"Low-energy gamma-ray emission (Johnson et al. 1994; Dil et al. 1981)"
NGC 1275;PER A;Seyfert 2;3;150.58;-13.26;49.95;41.51;146.5654;-13.2600;0.018;0.05–0.20;"Gamma-ray spectrum (Rothschild et al. 1981; Matt et al. 1990; Ubertini et al. 1984; Johnson et al. 1994);"
NGC 253;PKS 0045-25,RX J00475-2517,2E 0045.1-2533,1Jy 0045-25;Galaxy;4;97.3;-87.96;11.89;-25.29;3.4636;-87.9600;0.000817;0.05–0.165;"Low-energy continuum emission (Bhattacharya et al. 1994); high-energy upper limits related to cosmic-ray acceleration in supernovae (Paglione et al. 1996)"
NGC 3783;1H 1135-372;Seyfert 1;3;287.46;22.95;174.76;-37.74;-66.7981;22.9500;0.011;0.05–0.15;"Low-energy gamma-ray emission (Johnson et al. 1994; Rothschild et al. 1983)"
NGC 4151;H1208+396;Seyfert 1.5;3;155.08;75.06;182.64;39.41;39.9808;75.0600;0.003;0.05–0.56;"Review of high-energy observations (Perotti et al. 1991); pair model including reprocessing (Coppi & Zdziarski 1992); generalized Compton model (Titarchuk & Mastichiadis 1994); combined nonthermal/thermal model (Zdziarski, Lightman & Maciolek-Niedzwiecki1993); gamma-ray spectroscopy (Frontera et al. 1979b; Baity et al. 1984; Maisack et al. 1993; Churazov et al. 1994)"
NGC 4388;MCG+02-32-041;Seyfert 2;3;279.18;74.34;186.45;12.65;-21.8156;74.3400;0.008;0.05–0.15;"Spectroscopy (Dil et al. 1981); flux measurements (Johnson et al. 1994; Lebrun et al. 1992)"
NGC 4507;EQ 1232-396;Seyfert 2;3;299.64;22.86;188.9;-39.91;-55.6191;22.8600;0.013;0.05–0.20;Gamma-ray spectrum (Bassani et al. 1995)
NGC 5506;1E 1410.6-0258,4U 1410-03,2A 1410-029,1H 1408-031;Seyfert 2;3;339.15;53.81;213.31;-3.21;-12.3112;53.8100;0.006;0.05–0.1;Gamma-ray flux (Bassani et al. 1996)
NGC 5548;H1415+253;Seyfert 1.5;3;31.96;70.5;214.5;25.13;10.6685;70.5000;0.017;0.05–0.15;"Spectrum (Rothschild et al. 1983); flux measurement (Johnson et al. 1994)"
NGC 6814;QSO 1939-104;Seyfert 1;3;29.35;-16.01;295.67;-10.32;28.2116;-16.0100;0.005;0.05–0.15;Low-energy gamma-ray emission (Johnson et al. 1994)
NGC 7582;PKS 2315-426;Seyfert 2;3;348.08;-65.7;349.6;-42.37;-4.9053;-65.7000;0.005;0.05–0.15;Flux measurement (Johnson et al. 1994)
Nova Muscae 1991;GRS 1124-68;LMXRB;1;295.3;-7.07;171.61;-68.68;-64.2081;-7.0700;4;0.05–0.3;"Peak flux and spectrum with possible annihilation feature (Goldwurm et al. 1992); distance (King, Harrison, & McNamara 1996)"
NRAO 190;1E 0439.9-0023,QSO 0440-003,2EGS J0442-0033,1Jy 0440-003;Quasar;7;197.2;-28.46;70.66;-0.29;-143.1256;-28.4600;0.85;100;"Flux measurement and identification (Thompson et al. 1996); detection of a gamma-ray flare (McGlynn et al. 1997)"
OAO 1657-415;H1657-415;HMXRB;1;344.45;0.31;255.2;-41.67;-15.5498;0.3100;;0.05–0.08;"Flux measurement (Levine et al. 1984; Mereghetti et al. 1991)"
OJ 287;QSO 0851+202,2E 0851.9+2018,1Jy 0851+20;BL Lac;7;206.81;35.82;133.7;20.11;-124.2156;35.8200;0.31;100;High-energy detection and multiwavelength observation (Shrader, Hartman, & Webb 1995)
Perseus;4U 0316+41,H0316+413,2E 0316.5+4120;Cluster;4;150.58;-13.26;49.96;41.53;146.5654;-13.2600;0.184;0.05–0.08;Flux measurement (Levine et al. 1984)
PG 1416-129;QSO 1416-1256,2E 1416.3-1256;Quasar;7;333.5;44.43;214.76;-13.18;-18.9238;44.4300;0.089583333;0.05–0.15;Gamma-ray flux (Staubert & Maisack 1996)
PKS 0235+164;2EG J0238+1657,2E 0235.8+1624,1Jy 0235+16;Quasar;7;156.77;-39.11;39.66;16.61;121.6435;-39.1100;0.94;70–10000;High-energy flux (Thompson et al. 1995)
PKS 0446+112;2EG J0450+1122,1Jy 0446+11;Quasar;7;187.43;-20.74;72.28;11.36;-161.3870;-20.7400;1.21;30;Flux measurements (Thompson et al. 1995)
PKS 0454-234;2E 0454.9-2329,1Jy 0454-234;Quasar;7;223.71;-34.9;74.26;-23.41;-111.7785;-34.9000;1;100;"Gamma-ray detections (Fichtel et al. 1993; Thompson et al. 1993c)"
PKS 0528+134;2EG J0531+1324,RX J05039+1332,2E 0528.1+1329,1Jy 0528+134;Quasar;7;191.37;-11.01;82.73;13.53;-165.5262;-11.0100;2.06;0.05–0.15,0.75;"High-energy spectrum and variability (Hunter et al. 1993a); low-energy spectrum (McNaron-Brown et al. 1995); medium-energy observations (Collmar et al. 1997)"
PKS 1622-297;1Jy 1622-297;Quasar;7;348.82;13.32;246.53;-29.86;-10.8792;13.3200;0.815;0.05–0.8,30–4000;Gamma-ray flare (Mattox et al. 1997)
PKS 2155-304;1H 2156-304,3A 2156-306,2E 2155.9-3027;BL Lac;7;17.73;-52.25;329.72;-30.22;10.8546;-52.2500;0.116;0.5–0.15,30–10000;"High-energy emission (Vestrand, Stacy, & Sreekumar 1995); hard X-ray detection (McNaron-Brown et al. 1995)"
